Negara,B-10 (Kg),N-10 (USD),B-11 (Kg),N-11 (USD),B-12 (Kg),N-12 (USD),B-13 (Kg),N-13 (USD),B-14 (Kg),N-14 (USD),B-15 (Kg),N-15 (USD),B-16 (Kg),N-16 (USD),B-17 (Kg),N-17 (USD),B-18 (Kg),N-18 (USD),B-19 (Kg),N-19 (USD),B-20 (Kg),N-20 (USD),B-21 (Kg),N-21 (USD)
Gambia,16977.0,91497.0,1774.0,6900.0,19605.0,112746.0,6241.0,51529.0,,,,,,,,,,,,,,,,
Georgia,,,1989.0,31749.0,,,,,,,,,,,,,,,,,,,,
Ghana,35119.0,224176.0,41545.0,278399.0,,,,,,,,,,,,,"1687,84","17044,65",,,,,,
Gibraltar,,,,,,,176.0,2450.0,,,,,,,,,,,,,,,,
Guadeloupe,51.0,1733.0,3622.0,9687.0,,,,,,,752,585,,,,,,,,,"508,64","1,52",,
Guam,518.0,7388.0,824.0,17977.0,335.0,5002.0,237.0,3980.0,76.0,977.0,50,486,,,2,"123,2",,,93,"1765,7",,,,
Guinea,,,4216.0,16200.0,,,,,,,,,,,,,,,,,,,365,75
Guyana,3344.0,9512.0,,,,,,,,,,,,,,,,,,,,,,
Haiti,,,,,,,,,,,,,,,"11818,1","52050,13","9891,7","54716,64","14552,5",79917,"29211,1","5291,2",,
Hongkong,121436.0,2937359.0,100744.0,2637367.0,47860.0,1626980.0,24265.0,1053111.0,33217.0,969329.0,"26221,89","781848,86","13621,87","402766,57","16154,24","394334,6","14553,76","348758,96","11365,57","352648,67","96544,77","3279,65","5036,07","179203,25"
Hungaria,2301.0,16092.0,9436.0,33506.0,,,,,,,20,420,,,400,865,,,,,,,,
Iceland,264.0,2504.0,,,,,,,,,,,,,,,,,,,,,,
India,759.0,16556.0,8450.0,182631.0,8748.0,288163.0,58692.0,2146599.0,19503.0,669178.0,"15507,2","567208,82","9370,39","318652,53","205,97","9270,31",,,1,425,"120114,88","85637,26","731,79","19375,73"
Inggris,2305302.0,53781737.0,2316258.0,59387870.0,617273.0,19432195.0,736917.0,19712184.0,291548.0,9643778.0,"62329,9","2909037,47","40223,66","1288997,74","31074,31","708785,06","18894,02","278110,51","37383,5","824713,21","284235,2","22616,9","49086,4","1170125,71"
Irak,9772.0,558600.0,11227.0,69250.0,,,,,,,,,,,,,,,,,,,,
Iran,1451.0,2384.0,64476.0,1041286.0,,,,,,,,,,,"3442,55",12096,,,,,,,,
Irlandia,346.0,632.0,4273.0,141254.0,,,,,,,,,,,,,,,,,,,"0,5","106,66"
Israel,9682.0,101574.0,3157.0,89466.0,158.0,6436.0,181.0,7069.0,,,,,6,"116,77",38,588,"84,2","2539,66",,,"2868,89","13,75","6,06","1575,62"
Italia,167110.0,5333470.0,178803.0,6510526.0,5075.0,220802.0,46092.0,1406317.0,42432.0,1320301.0,"3649,51","225312,77","3988,82","199049,83","14066,16","697774,98","25271,24","1023819,02","19385,6","893679,47","670437,12","41955,84","53436,29","327683,29"
Jamaica,988.0,7215.0,,,,,,,,,,,,,,,,,,,,,,
Jepang,1053202.0,21575136.0,1496074.0,40968982.0,421447.0,13932823.0,685623.0,21064782.0,333641.0,15044890.0,"286293,47","13742143,41","161070,44","5218714,88","105518,28","2201302,43","163558,42","3094359,48","52925,3","943220,16","431031,13","36663,61","41986,27","491560,91"
Jerman,5337841.0,126316805.0,5078519.0,145596261.0,193026.0,5491556.0,167088.0,4569811.0,91583.0,1603859.0,"57257,7","1249614,51","33204,57","1107745,97","44329,18","899513,54","10978,47","232234,28","6466,13","134015,46","370663,05","20621,39","23379,37","602227,65"
JERSEY,,,,,,,,,,,,,,,,,,,,,"36,72","0,5",,
Jordan,18807.0,106341.0,86136.0,526118.0,41890.0,267210.0,35967.0,354384.0,5484.0,63401.0,,,,,,,,,,,,,,
Kaledonia Baru,6775.0,86265.0,3154.0,66753.0,22.0,512.0,,,,,,,"1146,3","12462,63","938,74","33116,59","325,04","13647,1",456,"8838,8",,,,
Kamboja,108851.0,400259.0,30571.0,235628.0,306539.0,1256780.0,365251.0,1656410.0,652171.0,2691503.0,"358802,3","1658697,75","96463,66","523797,71",122068,"433799,13","13045,8","46606,2",,,,,40,483
Kamerun,,,,,,,,,,,1680,2856,,,,,,,,,,,,
Kanada,988057.0,19487787.0,1138453.0,26778560.0,215144.0,3265868.0,226839.0,3444733.0,169470.0,3417045.0,"233307,8","4951082,25","161467,32","3709319,08","68311,58","1639647,84","73493,86","1363797,58","40299,54","809241,57","671786,26","41778,11","45181,52","764355,18"
Kazakhstan,,,130.0,4477.0,324.0,13282.0,280.0,9421.0,,,,,,,,,,,,,,,,
Kenya,4118.0,7020.0,1343.0,5411.0,,,425.0,4050.0,,,,,,,,,"411,7","8654,49",,,,,,
Kongo,,,4.0,12.0,,,,,,,,,,,,,,,,,,,,
Korea Selatan,348658.0,3082119.0,304510.0,4648202.0,69982.0,1871446.0,37547.0,1239590.0,36802.0,1213154.0,"41669,71","1856590,34","61442,6","1796951,49","13925,67","201354,63","8536,84","149956,83","2161,82","30962,4","5452,9","248,03","5619,91","47341,94"
Kroasia,443.0,17387.0,1740.0,51852.0,1285.0,12498.0,,,93.0,1210.0,,,"75,3","1636,99",,,,,,,,,"300,72","8135,22"
Kuwait,104366.0,1304627.0,116436.0,1738254.0,45019.0,661502.0,63009.0,723970.0,44629.0,485776.0,44060,540797,"35614,55","323742,53","33801,45","273993,54","46233,05","467067,73","27533,46","284990,55","21846,44","2104,22","6079,81","69125,33"
Latvia,1613.0,20217.0,1950.0,28396.0,,,,,,,,,,,"817,42","21925,4","312,02","7430,81",,,,,,
Lebanon,1413.0,22921.0,610.0,19898.0,26.0,1089.0,21.0,793.0,,,,,,,,,,,,,,,,
Libya,26748.0,366500.0,27540.0,405450.0,,,,,,,,,,,,,,,,,,,,
Lithuania,,,15.0,138.0,,,,,,,,,,,,,,,,,"12758,78","754,79",,
Luksemburg,6.0,101.0,71.0,1321.0,,,,,7.0,454.0,,,,,,,,,,,,,,
Macau,39206.0,212099.0,2107.0,20618.0,47787.0,300762.0,85174.0,761328.0,13144.0,154890.0,42854,"487815,96",22698,"274459,33",,,,,,,,,,
Madagaskar,10720.0,4883.0,12805.0,4230.0,,,,,,,,,"663,6","5634,69",,,,,,,,,"18736,6","71938,2"
Maladewa,2790.0,45809.0,1105.0,65506.0,378.0,12888.0,199.0,5377.0,138.0,5963.0,,,18,315,,,"474,8","3143,54",160,3072,,,1,"18,62"
Malaysia,841227.0,9546585.0,933785.0,10825403.0,51583.0,1133160.0,141766.0,2714881.0,123200.0,1588479.0,"12963,3","230742,81","40239,13","542231,82","7645,05","106562,59","29313,74","400957,87","105362,44","1330326,63","287361,81","13033,26","128428,22","1141893,53"
Malta,1356.0,40241.0,4594.0,149406.0,,,,,,,,,,,,,,,,,,,,
Maroko,172.0,3993.0,735.0,18745.0,29.0,1216.0,42.0,1494.0,,,,,,,,,,,,,,,,
Martinique,352.0,634.0,,,275.0,4565.0,,,,,,,,,,,,,,,,,,
Mauritania,,,,,,,,,,,8268,90630,16196,150436,,,,,,,,,,
Mauritius,5037.0,25220.0,2973.0,28609.0,1401.0,18394.0,246.0,467.0,487.0,5963.0,202,1096,50,"778,18",59,1008,,,,,,,,
Meksiko,426301.0,10152314.0,455776.0,12420074.0,82403.0,1769750.0,15557.0,430807.0,2292.0,79479.0,"58301,99","1516635,2","50358,94","1342672,63","8138,45","330587,46","13412,09","425458,99","3718,76","80484,1","39233,33","1036,9","1914,85","53036,18"
Mesir,879601.0,13373600.0,807203.0,12883240.0,,,,,,,,,,,,,"98,18","3655,36","4857,87","42978,75","1018,68","27,05",,
Monaco,,,,,,,,,,,,,,,,,,,,,"231,92","2,1",,
Mongolia,,,,,42.0,2285.0,,,,,,,,,,,40,"375,2",,,,,,
Myanmar,,,5435.0,98208.0,2644.0,25968.0,13289.0,153909.0,65855.0,699842.0,"40477,9","368746,02","64957,02","659355,57","79640,96","783823,43","116202,56","960072,79","117886,75","1076429,21","596479,39","58343,36","15968,4","112531,6"
Namibia,,,,,,,,,,,,,,,,,,,2,"149,94",,,,
Nepal,424.0,13714.0,,,,,,,,,18,841,,,1780,13494,,,,,,,,
Netherlands Antilles,1114.0,57447.0,4388.0,104774.0,56.0,638.0,9.0,444.0,,,2,1997,,,180,"70055,68",,,136,"44650,42",,,,
Niger,4084.0,10000.0,1121.0,3800.0,,,,,,,,,,,,,,,,,,,,
Nigeria,253584.0,300457.0,7784.0,21793.0,838.0,2325.0,33666.0,73398.0,11947.0,232300.0,215,236,14,"1132,5",,,766,"2824,79",1144,"4039,52","1780,92","259,1",1829,"23335,19"
Nikaragua,12.0,28.0,,,,,,,,,,,,,,,,,,,"1497,27","145,32",,
Northern Mariana Islands,,,,,,,,,,,16,35,,,,,,,,,,,,
Norwegia,31189.0,762236.0,24585.0,749456.0,,,149.0,4415.0,328.0,3835.0,"30,4","1287,2","769,58","29472,45","125,22","6970,72",50,"2603,8",1,"94,25",,,"1713,28","74071,93"
Oman,4.0,11.0,4417.0,58577.0,302.0,4404.0,,,,,,,"18882,67","332541,51",3531,"52461,75","736,9","8679,2","2091,4","27637,15","1072,5","160,48","649,37","6570,25"
Pakistan,208326.0,1156715.0,217945.0,1350431.0,123419.0,773082.0,167490.0,1407980.0,23831.0,250597.0,91319,"977415,16",61669,"701060,94",3030,"48734,44",,,,,,,,
Palau,494.0,4645.0,8.0,68.0,68.0,304.0,5.0,43.0,,,,,,,,,,,,,,,,
Panama,101564.0,1952817.0,171775.0,3120145.0,69193.0,872734.0,37425.0,680320.0,10218.0,225981.0,"37437,42","768366,65","13793,79","350750,45","4509,99","128016,31","864,12","19019,04",,,"1880,64","48,72","73,65","2455,92"
Pantai Gading,,,,,,,,,,,,,,,,,42,"550,55",,,,,,
Papua Nugini,2404.0,12159.0,100495.0,275041.0,,,,,,,,,,,"3370,18",13870,74,"1429,43",,,,,,
Paraguay,769.0,17678.0,,,,,,,,,,,2,114,,,"207,49","4656,64",,,"1880,64","35,32",,
Perancis,266083.0,6563911.0,196226.0,6599699.0,21324.0,829204.0,19106.0,704216.0,15232.0,601006.0,"13270,68","484747,86","4904,04","190891,1","5672,2","280607,15","9696,77","413418,51","11163,83","349484,61","196674,61","5721,98","4712,75","64007,09"
Peru,4703.0,70267.0,6412.0,289892.0,720.0,31339.0,1005.0,43008.0,222.0,13965.0,2060,41108,"647,09","31820,39",33,"2756,44",,,,,"1417,5","47,7","406,29","12180,44"
Philipina,610081.0,4900086.0,543990.0,5796567.0,29067.0,306801.0,26420.0,217008.0,36456.0,267943.0,"75082,63","226969,48","49477,05",163195,"968,97","15270,6","274,47","7473,21","15600,39","103131,9","266448,45","22888,88","47716,84","415475,65"
Polandia,20353.0,965162.0,64833.0,2484579.0,197.0,3464.0,108.0,4697.0,,,,,"188,39",5880,,,,,,,"60,7","0,7","4190,01","105963,38"
Portugal,15794.0,173772.0,11189.0,160591.0,,,,,1.0,30.0,,,,,,,,,,,"594,84",10,,
Puerto Rico,20344.0,225259.0,28283.0,312051.0,40.0,2435.0,102.0,4000.0,,,48,1732,,,,,,,,,"32,75","0,5",,
Qatar,32.0,37.0,15660.0,202315.0,,,,,,,,,3196,"51651,37",,,,,,,,,,
Rep Ceko,4320.0,151473.0,7673.0,221380.0,986.0,42591.0,3598.0,188250.0,3795.0,173294.0,,,,,,,,,,,,,,
